Gene	name2	Chr	Strand	fit_value	Predicted_Proximal_APA	Loci	A_1_long_exp	A_1_short_exp	A_1_PDUI	A_2_long_exp	A_2_short_exp	A_2_PDUI	A_3_long_exp	A_3_short_exp	A_3_PDUI	A_4_long_exp	A_4_short_exp	A_4_PDUI	A_5_long_exp	A_5_short_exp	A_5_PDUI	A_6_long_exp	A_6_short_exp	A_6_PDUI	A_7_long_exp	A_7_short_exp	A_7_PDUI	A_8_long_exp	A_8_short_exp	A_8_PDUI	A_9_long_exp	A_9_short_exp	A_9_PDUI	A_10_long_exp	A_10_short_exp	A_10_PDUI	A_11_long_exp	A_11_short_exp	A_11_PDUI	A_12_long_exp	A_12_short_exp	A_12_PDUI	A_13_long_exp	A_13_short_exp	A_13_PDUI	A_14_long_exp	A_14_short_exp	A_14_PDUI	A_15_long_exp	A_15_short_exp	A_15_PDUI	A_16_long_exp	A_16_short_exp	A_16_PDUI	A_17_long_exp	A_17_short_exp	A_17_PDUI	A_18_long_exp	A_18_short_exp	A_18_PDUI	B_1_long_exp	B_1_short_exp	B_1_PDUI	B_2_long_exp	B_2_short_exp	B_2_PDUI	B_3_long_exp	B_3_short_exp	B_3_PDUI	B_4_long_exp	B_4_short_exp	B_4_PDUI	B_5_long_exp	B_5_short_exp	B_5_PDUI	B_6_long_exp	B_6_short_exp	B_6_PDUI	B_7_long_exp	B_7_short_exp	B_7_PDUI	B_8_long_exp	B_8_short_exp	B_8_PDUI	B_9_long_exp	B_9_short_exp	B_9_PDUI	B_10_long_exp	B_10_short_exp	B_10_PDUI	Group_A_Mean_PDUI	Group_B_Mean_PDUI	PDUI_Group_diff	P_val	adjusted.P_val	Pass_Filter
NM_028870.3	Cltb	chr13	-	13269.7	54593693	chr13:54592939-54594042	57.79	215.26	0.21	132.78	223.69	0.37	57.61	130.88	0.31	57.29	111.65	0.34	28.12	48.6	0.37	788.84	1492.24	0.35	533.44	763.14	0.41	144.63	303.66	0.32	220.02	438.89	0.33	149.35	274.28	0.35	374.76	777.95	0.33	372.76	738.13	0.34	27.56	50.91	0.35	NA	NA	NA	11.87	18.24	0.39	214.89	376.39	0.36	34.02	63.13	0.35	538.68	1174.96	0.31	46.89	122.37	0.28	239.92	448.02	0.35	12.81	26.57	0.33	26.52	41.62	0.39	23.9	35.16	0.4	68.94	116.84	0.37	179.22	314.54	0.36	86	167.87	0.34	173.89	360.36	0.33	157	331.29	0.32	0.340588235	0.347	-0.006411765	1	1	N
NM_025933.3	Higd2a	chr13	+	2328.4	54591015	chr13:54590724-54591147	78.74	70.8	0.53	135.93	59.58	0.7	97	33.4	0.74	75.28	17.41	0.81	30.15	11.43	0.73	794.75	166.05	0.83	373.29	181.51	0.67	163.65	67.08	0.71	317.89	118.63	0.73	220.4	79.85	0.73	473.11	228.21	0.67	456.49	193.36	0.7	29.93	15.45	0.66	NA	NA	NA	NA	NA	NA	232.17	153.67	0.6	49.75	17.98	0.73	854.51	228.18	0.79	84.96	45.25	0.65	328.84	181.64	0.64	30.45	0	1	34.25	12.7	0.73	22.87	15.61	0.59	62.8	59.02	0.52	354.92	190.16	0.65	135.36	52.25	0.72	337.3	159.78	0.68	281.05	95.06	0.75	0.708125	0.693	0.015125	0.151167566	0.753794259	N
NM_133797.4	4833439L19Rik	chr13	-	40683	54552464	chr13:54551290-54552817	282.55	70.13	0.8	486.13	184.38	0.73	354.74	98.37	0.78	231.89	94.81	0.71	96.44	32.72	0.75	2711.16	879.27	0.76	1620.5	726.58	0.69	550.32	149.63	0.79	1122.36	536.6	0.68	816.07	318.23	0.72	2050.41	514.06	0.8	1959.1	752.17	0.72	141.42	46.16	0.75	39.36	8.93	0.82	54.04	22.09	0.71	975.39	407.44	0.71	168.45	49.69	0.77	2830.81	802.66	0.78	112.29	57.78	0.66	539.8	247.36	0.69	29.05	12.05	0.71	55.23	18.44	0.75	39.3	22.61	0.63	142.13	82.31	0.63	289.34	89.46	0.76	168.87	80.26	0.68	374.5	150.55	0.71	266.49	125.47	0.68	0.748333333	0.69	0.058333333	0.103562942	0.629725861	N
XM_006517479.3	4833439L19Rik	chr13	-	40683	54552464	chr13:54551290-54552817	282.55	70.13	0.8	486.13	184.38	0.73	354.74	98.37	0.78	231.89	94.81	0.71	96.44	32.72	0.75	2711.16	879.27	0.76	1620.5	726.58	0.69	550.32	149.63	0.79	1122.36	536.6	0.68	816.07	318.23	0.72	2050.41	514.06	0.8	1959.1	752.17	0.72	141.42	46.16	0.75	39.36	8.93	0.82	54.04	22.09	0.71	975.39	407.44	0.71	168.45	49.69	0.77	2830.81	802.66	0.78	112.29	57.78	0.66	539.8	247.36	0.69	29.05	12.05	0.71	55.23	18.44	0.75	39.3	22.61	0.63	142.13	82.31	0.63	289.34	89.46	0.76	168.87	80.26	0.68	374.5	150.55	0.71	266.49	125.47	0.68	0.748333333	0.69	0.058333333	0.103562942	0.629725861	N
NM_009946.3	Cplx2	chr13	+	210798.1	54382683	chr13:54379512-54383917	217.59	155.01	0.58	377.48	149.33	0.72	328.31	66.43	0.83	202.68	83.56	0.71	74.19	28.33	0.72	1885.55	732.22	0.72	1203.7	394.87	0.75	364.59	215.57	0.63	988.14	296.56	0.77	581.84	172.58	0.77	1330.97	859.42	0.61	1335.2	506.5	0.72	97.55	32.31	0.75	25.46	18.79	0.58	34.27	13.99	0.71	924.58	322.56	0.74	146.22	53.2	0.73	1899.52	938.6	0.67	89.85	69.68	0.56	612.99	165.77	0.79	25.93	9.66	0.73	51.29	23.59	0.68	27.62	7.77	0.78	144.6	57.7	0.71	209.87	108.27	0.66	229.98	73.51	0.76	424	151.69	0.74	192.68	108.74	0.64	0.706111111	0.705	0.001111111	0.599582474	1	N
XM_017315376.1	Cplx2	chr13	+	44804.7	54379713	chr13:54379512-54379980	175.48	307.09	0.36	235.22	326.96	0.42	217.81	216.72	0.5	127.66	144.48	0.47	42.95	50.15	0.46	1104.02	1803.3	0.38	676.56	947.31	0.42	241.57	344.01	0.41	564.54	781.97	0.42	342.64	465.45	0.42	1514.12	1878.76	0.45	788.95	964.56	0.45	65.44	70.04	0.48	18.59	35.44	0.34	22.74	25.02	0.48	493.2	811.08	0.38	87.79	128.99	0.4	1228.14	1492.48	0.45	55.58	120.46	0.32	345.15	351.62	0.5	16.26	14.85	0.52	29.49	47.08	0.39	10.36	30.93	0.25	90.25	124.54	0.42	134.17	144.79	0.48	163.14	146.94	0.53	231.18	341.78	0.4	158.43	116.68	0.58	0.427222222	0.439	-0.011777778	0.267660132	0.96663898	N
XM_006516849.3	Sfxn1	chr13	+	2985.6	54106708	chr13:54106507-54108346	59.32	18.45	0.76	85.48	20.24	0.81	61.98	3.69	0.94	46.42	6.57	0.88	NA	NA	NA	504.06	8.55	0.98	284.03	32.1	0.9	88.96	29.51	0.75	208.05	53.73	0.79	149.27	0	1	364.26	17.78	0.95	340.09	52.76	0.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	176.45	0	1	31.1	5.74	0.84	485.3	19.42	0.96	28.14	5.68	0.83	162.06	12.35	0.93	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.24	8.71	0.83	170.61	0	1	66	21.18	0.76	152.35	31.13	0.83	121.55	5.15	0.96	0.887857143	0.877142857	0.010714286	0.692199175	1	N
XM_006516850.3	Sfxn1	chr13	+	2963.9	54106708	chr13:54106507-54108147	56.46	21.31	0.73	83.83	21.89	0.79	61.41	4.26	0.94	45.39	7.6	0.86	NA	NA	NA	493.76	18.85	0.96	278.9	37.23	0.88	85.97	32.5	0.73	203.19	58.59	0.78	144.94	0	1	350.17	31.87	0.92	336.85	56	0.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	175.4	0	1	29.79	7.05	0.81	470.87	33.84	0.93	27.57	6.26	0.82	158.05	16.36	0.91	NA	NA	NA	NA	NA	NA	NA	NA	NA	40.32	10.63	0.79	169.95	0	1	63.4	23.78	0.73	152.2	31.28	0.83	120.85	5.84	0.95	0.870714286	0.861428571	0.009285714	0.8534572	1	N
XM_006516846.3	Auh	chr13	-	36.7	52910391	chr13:52910207-52910592	97.03	7.63	0.93	232.89	4	0.98	156.18	5.08	0.97	103.33	2.5	0.98	43.9	1.27	0.97	1235.06	35.7	0.97	773.65	14.24	0.98	259.52	11.72	0.96	561.92	1.84	1	312.58	2.87	0.99	865.22	25.05	0.97	689.96	3.87	0.99	41	0.33	0.99	NA	NA	NA	NA	NA	NA	407.36	0	1	64.35	0.51	0.99	1338.78	8.9	0.99	82.26	0.72	0.99	431.51	16.28	0.96	NA	NA	NA	43.03	1.61	0.96	NA	NA	NA	106.52	4.74	0.96	279.29	16.74	0.94	141.68	6.04	0.96	397.96	26.7	0.94	229.24	12.85	0.95	0.97875	0.9575	0.02125	0.033242062	0.328419805	N
XM_017315373.1	Auh	chr13	-	95.8	52907871	chr13:52907020-52909315	97.45	0	1	231.76	0	1	154.4	3.41	0.98	104.05	0	1	44.48	0.34	0.99	1150.35	1.89	1	790.31	0	1	262	0.66	1	550.38	1.08	1	300.65	0	1	839.36	7.81	0.99	659.33	13.58	0.98	40.64	0.6	0.99	NA	NA	NA	NA	NA	NA	408.57	0	1	63.39	0	1	1324.88	3.55	1	83.27	0.24	1	431.68	0	1	NA	NA	NA	40.94	0.34	0.99	NA	NA	NA	102.44	1.04	0.99	285.12	0	1	142.16	2.11	0.99	395.4	6.29	0.98	237.13	0	1	0.995625	0.99375	0.001875	1	1	N
XR_001780949.1	Gm33315	chr13	+	1.5	52844993	chr13:52844792-52845595	151.14	0	1	175.57	0.3	1	136.13	0	1	90.04	0.09	1	36.25	0	1	844.09	5.53	0.99	745.13	2.37	1	237.36	0	1	476.61	0	1	290.41	0	1	744.22	0.46	1	745.47	2.25	1	30.49	0.07	1	NA	NA	NA	NA	NA	NA	364.46	1.32	1	49.89	0.41	0.99	1327.49	0	1	77.38	0	1	309.07	0	1	NA	NA	NA	41.35	0	1	NA	NA	NA	116.26	0	1	219.28	0	1	114.42	0	1	375.83	0	1	234.51	0	1	0.99875	1	-0.00125	1	1	N
XR_873401.2	Gm33315	chr13	+	3	52843111	chr13:52842562-52843842	150.63	0.95	0.99	175.39	0.64	1	136.13	1.05	0.99	90.04	0.3	1	36.28	0.12	1	844.09	5.05	0.99	745.13	0.87	1	237.36	0	1	473.48	2.08	1	289.18	0.41	1	745.59	0.1	1	746.08	4.39	0.99	30.45	0.08	1	NA	NA	NA	NA	NA	NA	364.82	0.5	1	51.64	0.2	1	1328.5	0.03	1	77.38	0	1	308.01	0.56	1	NA	NA	NA	41.35	0.14	1	NA	NA	NA	116.26	0.2	1	218.5	0	1	114.42	0.3	1	374.87	0.98	1	234.51	0.13	1	0.9975	1	-0.0025	1	1	N
NM_016709.2	Auh	chr13	-	1990.8	52835329	chr13:52835110-52835551	31.62	65.4	0.33	65.95	70.83	0.48	39.56	56.47	0.41	30.35	35.37	0.46	NA	NA	NA	332.21	428.92	0.44	169.84	317.68	0.35	72.15	75.62	0.49	160.37	129.15	0.55	76.93	120	0.39	177.72	349.26	0.34	221.93	206.72	0.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	105.76	154.33	0.41	20.16	26.22	0.43	388.33	461.1	0.46	31.75	20.6	0.61	124.03	103.2	0.55	NA	NA	NA	14.15	16.75	0.46	NA	NA	NA	29.92	41.82	0.42	58.39	106.22	0.35	53.22	46.34	0.53	96.22	102.7	0.48	87.99	70.32	0.56	0.432857143	0.495	-0.062142857	0.286160943	0.973250685	N
XM_011244372.2	Auh	chr13	-	2004.1	52835329	chr13:52835107-52835551	31.5	65.52	0.32	65.4	71.37	0.48	39.4	56.64	0.41	30.15	35.57	0.46	NA	NA	NA	330.11	431.02	0.43	168.77	318.74	0.35	71.7	76.06	0.49	159.01	130.52	0.55	76.51	120.42	0.39	176.42	350.55	0.33	220.34	208.31	0.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	104.79	155.29	0.4	20.07	26.32	0.43	384.79	464.64	0.45	31.52	20.83	0.6	123.32	103.91	0.54	NA	NA	NA	14.06	16.84	0.45	NA	NA	NA	29.72	42.02	0.41	57.88	106.73	0.35	52.81	46.75	0.53	95.41	103.51	0.48	87.16	71.15	0.55	0.428571429	0.48875	-0.060178571	0.241407423	0.928694854	N
NM_011817.2	Gadd45g	chr13	+	33809.7	51848288	chr13:51847869-51848475	605.15	202.43	0.75	618.71	207.65	0.75	477.06	219.43	0.68	286.25	130.12	0.69	132.3	65.24	0.67	1914.25	778.33	0.71	1245	470.26	0.73	808.31	302.8	0.73	1411.5	721.12	0.66	1036.89	405.81	0.72	2311.89	882.57	0.72	2229.15	1052.8	0.68	118.43	54.72	0.68	67.72	15.57	0.81	51.3	30.58	0.63	721.16	355.89	0.67	233.45	98.55	0.7	3839.99	1983.89	0.66	443.93	170.88	0.72	1830.59	872.2	0.68	113.06	44.93	0.72	271.69	123.55	0.69	179.81	92.96	0.66	678.11	313.42	0.68	521.63	355.24	0.59	386.51	205.34	0.65	1076.5	359.03	0.75	734.91	368.48	0.67	0.702222222	0.681	0.021222222	0.552885065	1	N
NR_132443.1	Hist1h2al	chr13	-	42455.6	51202659	chr13:51200084-51203066	0.8	248.95	0	0.76	271.19	0	0.99	178.45	0.01	0.47	143.03	0	0.21	56.8	0	4.56	1497.01	0	2.82	716.95	0	1.07	318.51	0	1.79	558.01	0	1.26	364.67	0	3.58	984.55	0	2.25	709.32	0	0.21	64.87	0	0.16	34.31	0	NA	NA	NA	1.9	577.82	0	0.35	86.83	0	4.62	1267.57	0	0.66	360.31	0	2.37	1210.83	0	0.21	100.64	0	0.26	129.79	0	0.23	99.21	0	0.49	313.13	0	1.55	736.15	0	0.87	476.61	0	1.72	1003.91	0	3.9	783.93	0	0.000588235	0	0.000588235	1	1	N
NM_013610.2	Ninj1	chr13	+	6928.9	49196010	chr13:49195604-49196251	153.19	121.6	0.56	168.31	209.83	0.45	105.38	104.88	0.5	71.93	83.01	0.46	26.77	37.52	0.42	969	858.23	0.53	606.73	547.9	0.53	186.66	207.71	0.47	370.39	353.02	0.51	214.51	241.13	0.47	680.25	546.27	0.55	493.55	515.84	0.49	33.49	39.65	0.46	NA	NA	NA	NA	NA	NA	244.07	287.16	0.46	50.86	47.29	0.52	892.02	999.78	0.47	69.75	63.67	0.52	264.81	301.29	0.47	15.55	17.11	0.48	25.74	30.91	0.45	23.45	18.08	0.56	77.9	101.97	0.43	251.52	249.66	0.5	99.3	103.07	0.49	234.76	271.73	0.46	182.63	238.31	0.43	0.490625	0.479	0.011625	0.421899923	1	N
NR_015601.1	Fam120aos	chr13	+	8964.3	48969326	chr13:48968938-48969905	98.82	26.76	0.79	209.37	2.47	0.99	150.05	13.35	0.92	87.64	9.07	0.91	41.11	0	1	1139.96	193.7	0.85	675.22	66.1	0.91	169.03	54.98	0.75	492.79	76.52	0.87	331.44	0	1	664.79	190.96	0.78	820.15	0	1	45.36	7.49	0.86	NA	NA	NA	NA	NA	NA	413.09	52.91	0.89	59.06	5.6	0.91	1065.28	60.09	0.95	57.21	31.01	0.65	388.66	22.53	0.95	NA	NA	NA	42.87	0.78	0.98	NA	NA	NA	115.26	13.33	0.9	162.95	32.62	0.83	141.28	0	1	271.79	45.37	0.86	194.33	29.06	0.87	0.89875	0.88	0.01875	0.888799477	1	N
NM_001033268.2	Fam120a	chr13	-	5430	48880803	chr13:48879216-48881095	71.55	40.15	0.64	118.66	51.62	0.7	85.04	29.24	0.74	52.52	25.28	0.68	24.13	6.37	0.79	598.34	259.35	0.7	359.61	140.83	0.72	105	58.28	0.64	360.8	95.16	0.79	225.8	42.71	0.84	442.67	344.53	0.56	479.8	262.45	0.65	36.81	19.44	0.65	NA	NA	NA	NA	NA	NA	320.05	96.47	0.77	47.28	21.19	0.69	664.25	328.35	0.67	59.12	30.21	0.66	333.33	77.83	0.81	NA	NA	NA	28.08	15.77	0.64	21.07	11.72	0.64	73.47	29.34	0.71	355.82	162.05	0.69	137	59.92	0.7	336.45	120.01	0.74	260.12	84.79	0.75	0.701875	0.704444444	-0.002569444	0.274828295	0.96831027	N
NM_011078.3	Phf2	chr13	-	1933.4	48802980	chr13:48801750-48803687	60.35	24.67	0.71	82.6	27.68	0.75	54.08	19.4	0.74	34.83	21.26	0.62	NA	NA	NA	339.05	189.81	0.64	220.38	125.74	0.64	86.63	22.48	0.79	213.31	114.21	0.65	142.06	62.44	0.69	320.87	184.07	0.64	313.25	145.49	0.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	171.05	58.32	0.75	26.86	15.25	0.64	542.89	136.6	0.8	36.92	16.14	0.7	171.88	63.51	0.73	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3	12.41	0.78	171.23	22.58	0.88	64.15	34.18	0.65	147.49	49.46	0.75	114.96	35.37	0.76	0.695714286	0.75	-0.054285714	0.164106225	0.782587673	N
XM_006516985.2	Fam8a1	chr13	+	1998.8	46675713	chr13:46675512-46678064	35.91	12.45	0.74	53.44	14.46	0.79	50.47	19.21	0.72	30.62	8.68	0.78	NA	NA	NA	280.24	53.8	0.84	166.25	111.4	0.6	49.38	36.55	0.57	187.87	125.57	0.6	122.7	37.49	0.77	258.75	56.33	0.82	225.02	146.46	0.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	139.97	93.21	0.6	24.59	10.15	0.71	332.34	156.17	0.68	28.87	13.67	0.68	186.56	126.16	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.69	29.94	0.54	126.08	80.3	0.61	66.17	30.92	0.68	137.84	95.2	0.59	109.46	77.15	0.59	0.702142857	0.612857143	0.089285714	0.096461219	0.609258667	N
NM_025508.5	Gmpr	chr13	+	3324.1	45546195	chr13:45545873-45546386	189.47	64.06	0.75	235.13	77.01	0.75	165.69	72.81	0.69	99.86	45.81	0.69	41.26	18.45	0.69	1128.47	296.75	0.79	650.54	200.49	0.76	244.31	93.15	0.72	384.1	323.71	0.54	267.77	102.99	0.72	776.15	381.07	0.67	596.34	312.02	0.66	47.48	25.25	0.65	NA	NA	NA	NA	NA	NA	437.47	290.46	0.6	70.8	31.91	0.69	1075.55	481.89	0.69	55.03	13.1	0.81	195.64	59.8	0.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	48.64	21.09	0.7	80.06	15.52	0.84	63.03	43.1	0.59	107.16	68	0.61	59.14	22.82	0.72	0.69125	0.72	-0.02875	0.663301727	1	N
XR_001780794.1	Ranbp9	chr13	-	1167.9	43403488	chr13:43402858-43403689	40.46	29.59	0.58	80.97	9.03	0.9	78.97	7.62	0.91	39.3	7.23	0.84	NA	NA	NA	407.89	120.91	0.77	262.99	98.37	0.73	62.93	33.48	0.65	205.58	47.28	0.81	126.2	11.66	0.92	285.37	114.29	0.71	323.68	96.72	0.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	156.29	19.76	0.89	24.56	6.33	0.79	366.56	135.3	0.73	29.75	18.37	0.62	224.05	43.41	0.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.02	7.88	0.87	213.34	88.27	0.71	68.16	37.75	0.64	207.76	20.27	0.91	171.65	51.22	0.77	0.785714286	0.765714286	0.02	0.81008712	1	N
NM_019930.2	Ranbp9	chr13	-	1167.9	43403488	chr13:43402858-43403689	40.46	29.59	0.58	80.97	9.03	0.9	78.97	7.62	0.91	39.3	7.23	0.84	NA	NA	NA	407.89	120.91	0.77	262.99	98.37	0.73	62.93	33.48	0.65	205.58	47.28	0.81	126.2	11.66	0.92	285.37	114.29	0.71	323.68	96.72	0.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	156.29	19.76	0.89	24.56	6.33	0.79	366.56	135.3	0.73	29.75	18.37	0.62	224.05	43.41	0.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.02	7.88	0.87	213.34	88.27	0.71	68.16	37.75	0.64	207.76	20.27	0.91	171.65	51.22	0.77	0.785714286	0.765714286	0.02	0.81008712	1	N
NM_023554.2	Nol7	chr13	+	4322.4	43401963	chr13:43401762-43402673	11.94	35.55	0.25	20.87	98.2	0.18	11.21	62.64	0.15	8.23	36.94	0.18	NA	NA	NA	115.43	577.14	0.17	65.14	277.08	0.19	15.89	76.95	0.17	67.51	166.19	0.29	30.58	148.31	0.17	90.73	280.22	0.24	118.59	238.25	0.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	37.33	215.45	0.15	6.62	29.96	0.18	93.19	540.69	0.15	9.35	49.66	0.16	49.91	280.62	0.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.66	63.56	0.14	42.17	332.87	0.11	20.78	103.83	0.17	52.75	287.11	0.16	26.67	280.23	0.09	0.2	0.14	0.06	0.049715845	0.424982917	N
NM_001302635.1	Phactr1	chr13	+	16963.8	43135375	chr13:43135174-43138526	125.91	0	1	185.5	0	1	148.63	0	1	98.18	0	1	36.06	0	1	1250.09	0	1	792.84	0	1	235.05	0	1	515.85	0	1	318.48	0	1	1046.57	0	1	950.14	0	1	63.01	0	1	NA	NA	NA	NA	NA	NA	439.46	0	1	60.54	0	1	1476.79	0	1	113.83	0	1	513.93	0	1	NA	NA	NA	62.83	0	1	NA	NA	NA	137.14	0	1	198.83	0	1	190.2	0	1	352.65	0	1	171.31	0	1	1	1	0	1	1	N
XM_006516905.3	Phactr1	chr13	+	16957.3	43135375	chr13:43135174-43138524	125.94	0	1	185.55	0	1	148.65	0	1	98.2	0	1	36.07	0	1	1250.31	0	1	793.1	0	1	235.1	0	1	516.03	0	1	318.57	0	1	1046.87	0	1	950.4	0	1	63.02	0	1	NA	NA	NA	NA	NA	NA	439.6	0	1	60.56	0	1	1477.22	0	1	113.86	0	1	514.05	0	1	NA	NA	NA	62.85	0	1	NA	NA	NA	137.18	0	1	198.88	0	1	190.25	0	1	352.77	0	1	171.38	0	1	1	1	0	1	1	N
XM_011244395.2	Phactr1	chr13	+	17020.5	43135375	chr13:43135174-43138390	125.55	0	1	185.35	0	1	146.84	0	1	97.5	0	1	35.92	0	1	1239.89	0	1	789.4	0	1	233.38	0	1	514.46	0	1	316.68	0	1	1041.75	0	1	945.58	0	1	62.63	0	1	NA	NA	NA	NA	NA	NA	441.06	0	1	60.73	0	1	1474.34	0	1	114.47	0	1	512.09	0	1	NA	NA	NA	62.85	0	1	NA	NA	NA	136.93	0	1	197.27	0	1	189.55	0	1	354.05	0	1	170.6	0	1	1	1	0	1	1	N
XR_873303.2	Gm15813	chr13	-	1.4	43119650	chr13:43117664-43119851	168.77	0.41	1	270.45	0	1	196.31	0	1	123.3	0	1	42.04	0.41	0.99	2144.81	0	1	968.51	2.07	1	333.28	0	1	688.93	0	1	429.72	0	1	1461.1	0	1	1357.13	0	1	89.55	0.2	1	NA	NA	NA	36.44	0	1	524.9	2.62	1	68.68	0	1	2061.2	0	1	156.58	0	1	622.55	0.48	1	NA	NA	NA	79.01	0	1	45.2	0.07	1	200.62	0	1	226.42	0	1	293.61	0	1	457.86	0	1	236.96	0	1	0.999411765	1	-0.000588235	1	1	N
NM_025387.3	Tmem14c	chr13	+	7489.7	41022307	chr13:41022106-41022582	61.3	35.62	0.63	97.16	33.32	0.74	62	7.08	0.9	45.51	31.64	0.59	NA	NA	NA	573.75	69.83	0.89	289.7	155.98	0.65	93.76	62.1	0.6	253.95	89.59	0.74	139.49	64.26	0.68	300.74	191.72	0.61	303.26	218.23	0.58	23.51	10.56	0.69	NA	NA	NA	NA	NA	NA	154.7	181.4	0.46	37.94	16.33	0.7	490.93	267.36	0.65	1.17	81.56	0.01	0.83	404.76	0	NA	NA	NA	0.14	32.08	0	NA	NA	NA	0.07	82.35	0	3.68	548.7	0.01	0.62	170.86	0	0.9	456.08	0	2.36	418.05	0.01	0.674	0.00375	0.67025	9.54E-77	3.33E-74	Y
NM_026550.3	Pak1ip1	chr13	+	2359.6	41012851	chr13:41012565-41013033	14.47	39.21	0.27	35.7	71.74	0.33	36.47	38.38	0.49	18.86	36.04	0.34	NA	NA	NA	322.08	174.9	0.65	141.4	201.83	0.41	35.69	69.7	0.34	110.15	180.33	0.38	61.03	101.59	0.38	124.26	208.58	0.37	133.17	248.46	0.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.27	95.72	0.51	12.33	23.34	0.35	180.17	415.73	0.3	26.7	22.06	0.55	110.39	155.38	0.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.72	47.64	0.32	129.94	138.81	0.48	31.85	64.85	0.33	99.99	130.68	0.43	79.28	126.54	0.39	0.390714286	0.417142857	-0.026428571	0.836885812	1	N
NM_031250.5	Ucn3	chr13	-	215992.1	3941455	chr13:3940688-3941656	1139.47	206.54	0.85	1881.62	232.57	0.89	1089.95	111.13	0.91	820.24	97.33	0.89	352.58	45.12	0.89	9775.78	874.98	0.92	5386.54	716.96	0.88	2093.12	369.86	0.85	4837.6	410.7	0.92	2656.21	277.97	0.91	8024.32	1492.78	0.84	7323.83	749.84	0.91	350.59	47.74	0.88	117.84	11.86	0.91	135.26	30.49	0.82	3583.74	284.48	0.93	501	94.04	0.84	11152	992.56	0.92	621.54	63.81	0.91	3393.06	496.36	0.87	163.76	2.36	0.99	333.36	22.09	0.94	133.05	16.3	0.89	860.65	115.31	0.88	820.55	130.16	0.86	1091.49	90.95	0.92	2378.68	414.38	0.85	768.26	100.18	0.88	0.886666667	0.899	-0.012333333	0.087164121	0.581302417	N
NM_001289599.1	Txndc5	chr13	-	7239.4	38501221	chr13:38500314-38501708	156.36	17.09	0.9	241.53	22.09	0.92	182.26	19.53	0.9	99.84	17.08	0.85	46.87	0	1	1321.25	130.81	0.91	765.7	110.64	0.87	227.41	33.09	0.87	563.12	39.77	0.93	325.53	97.26	0.77	971.54	44.29	0.96	844.65	86.88	0.91	60.66	2.05	0.97	NA	NA	NA	NA	NA	NA	514.45	59.42	0.9	75.77	9.34	0.89	1359.68	127.57	0.91	122.53	26.19	0.82	690.5	27.84	0.96	31.75	7.47	0.81	57.36	9.86	0.85	48.06	3.49	0.93	137.07	0.43	1	772.1	80.92	0.91	237.53	49.46	0.83	758.04	126.03	0.86	509.94	79.17	0.87	0.90375	0.884	0.01975	0.505463145	1	N
XM_006516524.2	Ssr1	chr13	-	11029.3	37978250	chr13:37975990-37979806	35.1	88.59	0.28	60.73	181.97	0.25	44.86	141.98	0.24	27.28	75.22	0.27	12.98	34.06	0.28	341.05	1108.75	0.24	249.77	664.49	0.27	63.36	179.97	0.26	129.97	253.82	0.34	95.83	218.37	0.3	203.42	521.79	0.28	233.05	569.35	0.29	19.71	44.2	0.31	NA	NA	NA	NA	NA	NA	147.57	317.61	0.32	19.72	42.89	0.31	283.87	739.85	0.28	24.83	80.64	0.24	135.11	374.68	0.27	9.19	25.66	0.26	17.96	52.73	0.25	13.3	40.93	0.25	37.53	100.78	0.27	114.51	360.44	0.24	67.45	142.12	0.32	133.45	340.04	0.28	109.52	335.59	0.25	0.2825	0.263	0.0195	0.790100883	1	N
NM_025965.3	Ssr1	chr13	-	6245.8	37978236	chr13:37971401-37979806	24.36	98.77	0.2	39.9	202.05	0.16	30.72	155.27	0.17	18.92	83.27	0.19	8.99	37.85	0.19	217.46	1227.29	0.15	156.31	754.03	0.17	40.97	201.45	0.17	78.65	304.81	0.21	56.6	256.8	0.18	137.37	585.22	0.19	152.63	646.88	0.19	12.49	51.21	0.2	NA	NA	NA	NA	NA	NA	94.1	369.44	0.2	12.89	49.54	0.21	172.48	848.18	0.17	15.87	89.07	0.15	88.02	420.09	0.17	5.89	28.88	0.17	11.65	58.91	0.17	8.01	45.99	0.15	23.39	114.53	0.17	73.07	400.98	0.15	39.42	169.67	0.19	75.8	396.46	0.16	62.84	380.69	0.14	0.184375	0.162	0.022375	0.673955846	1	N
